[2026-04-12 19:50:35] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:50:39] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:51:37] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:51:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:52:16] LOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:52:16] LOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:52:16] UNLOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:52:16] LOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:52:16] UNLOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:52:20] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:53:46] UNLOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:54:22] UNLOADED | Host: C:\Windows\System32\smartscreen.exe
[2026-04-12 19:54:53] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:54:53] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:55:01] LOADED | Host: C:\WINDOWS\System32\SearchProtocolHost.exe
[2026-04-12 19:55:01] LOADED | Host: C:\WINDOWS\System32\SearchFilterHost.exe
[2026-04-12 19:55:01] LOADED | Host: C:\WINDOWS\System32\SearchFilterHost.exe
[2026-04-12 19:56:20] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:56:25] UNLOADED | Host: C:\WINDOWS\System32\SearchFilterHost.exe
[2026-04-12 19:56:25] UNLOADED | Host: C:\WINDOWS\System32\SearchFilterHost.exe
[2026-04-12 19:56:28] UNLOADED | Host: C:\WINDOWS\System32\SearchProtocolHost.exe
[2026-04-12 19:56:39] LOADED | Host: C:\WINDOWS\system32\usoclient.exe
[2026-04-12 19:56:39] LOADED | Host: C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe
[2026-04-12 19:56:39] UNLOADED | Host: C:\WINDOWS\system32\usoclient.exe
[2026-04-12 19:56:40] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:56:48] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:56:59] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:57:23] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:57:24] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:57:40] UNLOADED | Host: C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe
[2026-04-12 19:58:42] LOADED | Host: C:\Windows\System32\smartscreen.exe
[2026-04-12 19:58:42] LOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:58:42] LOADED | Host: C:\WINDOWS\system32\ctfmon.exe
[2026-04-12 19:58:42] LOADED | Host: C:\WINDOWS\system32\AUDIODG.EXE
[2026-04-12 19:58:44] UNLOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:58:44] LOADED | Host: C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe
[2026-04-12 19:58:49] LOADED | Host: C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe
[2026-04-12 19:58:49] LOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:59:49] UNLOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:59:51] UNLOADED | Host: C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe
[2026-04-12 20:00:19] UNLOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 20:01:02] LOADED | Host: C:\WINDOWS\system32\DllHost.exe
[2026-04-12 20:01:11] LOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 20:01:11] LOADED | Host: C:\WINDOWS\system32\ctfmon.exe
[2026-04-12 20:01:14] UNLOADED | Host: C:\WINDOWS\system32\consent.exe
